# time RePsi4 ImPsi4 AbsPsi4
0.000000000000000000e+00 9.977946331374293100e-08 -2.211864107404274124e-24 9.977946331374293100e-08
1.800000000000000044e+00 9.867293925142725468e-08 -7.595203663069454527e-24 9.867293925142725468e-08
3.600000000000000089e+00 9.879432442954471627e-08 -6.907600323357166477e-24 9.879432442954471627e-08
5.400000000000000355e+00 9.957564882966891547e-08 -1.036708392475785289e-23 9.957564882966891547e-08
7.200000000000000178e+00 1.010367409051658540e-07 -1.607225135024249695e-23 1.010367409051658540e-07
9.000000000000000000e+00 1.025484417550010419e-07 -1.652048854665882881e-23 1.025484417550010419e-07
1.080000000000000071e+01 1.027254848597787786e-07 -2.812720775413682327e-23 1.027254848597787786e-07
1.259999999999999964e+01 9.960205461203266052e-08 -3.767923890596970757e-23 9.960205461203266052e-08
1.440000000000000036e+01 9.112960230292823926e-08 -4.775914080393627641e-23 9.112960230292823926e-08
1.619999999999999929e+01 7.593447486901135692e-08 -5.818081020491400382e-23 7.593447486901135692e-08
1.800000000000000000e+01 5.418974296159177903e-08 -6.766021962696447602e-23 5.418974296159177903e-08
1.980000000000000071e+01 2.838738684904705460e-08 -7.667660070846071747e-23 2.838738684904705460e-08
2.160000000000000142e+01 3.753003247670980308e-09 -9.363379971567588184e-23 3.753003247670980308e-09
2.339999999999999858e+01 -1.191534813061667054e-08 -1.007539411149253625e-22 1.191534813061667054e-08
2.519999999999999929e+01 -9.120030829934567704e-09 -1.053594949022322616e-22 9.120030829934567704e-09
2.700000000000000000e+01 2.174547116531748670e-08 -1.217256603383813236e-22 2.174547116531748670e-08
2.880000000000000071e+01 8.824594839002488834e-08 -1.224603168941262149e-22 8.824594839002488834e-08
3.060000000000000142e+01 1.935282802396191299e-07 -1.310755145756553868e-22 1.935282802396191299e-07
3.239999999999999858e+01 3.341598581327057472e-07 -1.393366298608866561e-22 3.341598581327057472e-07
3.420000000000000284e+01 4.986776034601953854e-07 -1.266879464625162658e-22 4.986776034601953854e-07
3.600000000000000000e+01 6.673265217476460321e-07 -1.153558448577564125e-22 6.673265217476460321e-07
3.779999999999999716e+01 8.132893804237817269e-07 -7.221555499283795901e-23 8.132893804237817269e-07
3.960000000000000142e+01 9.055025321810914371e-07 -3.092983771543279671e-23 9.055025321810914371e-07
4.139999999999999858e+01 9.128511345961218391e-07 -2.417919752884535304e-23 9.128511345961218391e-07
4.320000000000000284e+01 8.092487703892696696e-07 4.171303625817764674e-23 8.092487703892696696e-07
4.500000000000000000e+01 5.788580131937753321e-07 6.426582897765877826e-23 5.788580131937753321e-07
4.679999999999999716e+01 2.205746351694492597e-07 1.634088596988512059e-22 2.205746351694492597e-07
4.860000000000000142e+01 -2.490836019863896043e-07 1.432098653976120955e-22 2.490836019863896043e-07
5.039999999999999858e+01 -7.953538668644797942e-07 2.065560791580141589e-22 7.953538668644797942e-07
5.220000000000000284e+01 -1.367212495781590463e-06 3.368563950757403312e-22 1.367212495781590463e-06
5.400000000000000000e+01 -1.901905277940852363e-06 3.226243500338524236e-22 1.901905277940852363e-06
5.579999999999999716e+01 -2.331575051320326332e-06 2.215710644549526976e-22 2.331575051320326332e-06
5.760000000000000142e+01 -2.591197024950130905e-06 1.960722192750772858e-22 2.591197024950130905e-06
5.939999999999999858e+01 -2.626850582261419236e-06 1.410697841244757119e-22 2.626850582261419236e-06
6.120000000000000284e+01 -2.403292802154869673e-06 1.194152472899623651e-22 2.403292802154869673e-06
6.300000000000000000e+01 -1.909861875496939410e-06 -8.475382433143355788e-23 1.909861875496939410e-06
6.479999999999999716e+01 -1.163924004971356448e-06 -1.550911890033297074e-22 1.163924004971356448e-06
6.659999999999999432e+01 -2.113183338311045757e-07 -3.012590309407530420e-22 2.113183338311045757e-07
6.840000000000000568e+01 8.764553976265075817e-07 -5.153999761545643476e-23 8.764553976265075817e-07
7.020000000000000284e+01 2.008207849196819209e-06 -2.122545416104933177e-22 2.008207849196819209e-06
7.200000000000000000e+01 3.081758826618876376e-06 -4.231362709536671694e-22 3.081758826618876376e-06
